graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,74,43,0,True,False,False
0,43,74,0,True,False,False
0,74,57,0,True,False,False
0,57,74,0,True,False,False
0,74,92,0,True,False,False
0,92,74,0,True,False,False
0,119,162,0,True,False,False
0,162,119,0,True,False,False
0,57,119,0,True,False,False
0,119,57,0,True,False,False
0,119,171,0,True,False,False
0,171,119,0,True,False,False
0,119,178,0,True,False,False
0,178,119,0,True,False,False
0,92,119,0,True,False,False
0,119,92,0,True,False,False
0,64,171,0,True,False,False
0,171,64,0,True,False,False
0,64,198,0,True,False,False
0,198,64,0,True,False,False
0,64,172,0,True,False,False
0,172,64,0,True,False,False
0,92,64,0,True,False,False
0,64,92,0,True,False,False
0,186,212,0,True,False,False
0,212,186,0,True,False,False
0,212,115,0,True,False,False
0,115,212,0,True,False,False
0,212,147,0,True,False,False
0,147,212,0,True,False,False
0,212,170,0,True,False,False
0,170,212,0,True,False,False
0,159,212,0,True,False,False
0,212,159,0,True,False,False
0,84,32,0,True,False,False
0,32,84,0,True,False,False
0,65,84,0,True,False,False
0,84,65,0,True,False,False
0,84,106,0,True,False,False
0,106,84,0,True,False,False
0,84,34,0,True,False,False
0,34,84,0,True,False,False
0,13,84,0,True,False,False
0,84,13,0,True,False,False
0,77,84,0,True,False,False
0,84,77,0,True,False,False
0,135,30,0,True,False,False
0,30,135,0,True,False,False
0,89,135,0,True,False,False
0,135,89,0,True,False,False
0,135,34,0,True,False,False
0,34,135,0,True,False,False
0,13,135,0,True,False,False
0,135,13,0,True,False,False
0,135,25,0,True,False,False
0,25,135,0,True,False,False
0,200,184,0,True,False,False
0,184,200,0,True,False,False
0,180,200,0,True,False,False
0,200,180,0,True,False,False
0,220,125,0,True,False,False
0,125,220,0,True,False,False
0,186,220,0,True,False,False
0,220,186,0,True,False,False
0,220,70,0,True,False,False
0,70,220,0,True,False,False
0,123,220,0,True,False,False
0,220,123,0,True,False,False
0,220,170,0,True,False,False
0,170,220,0,True,False,False
0,134,145,0,True,False,False
0,145,134,0,True,False,False
0,134,124,0,True,False,False
0,124,134,0,True,False,False
0,57,134,0,True,False,False
0,134,57,0,True,False,False
0,134,178,0,True,False,False
0,178,134,0,True,False,False
0,89,35,0,True,False,False
0,35,89,0,True,False,False
0,35,34,0,True,False,False
0,34,35,0,True,False,False
0,35,197,0,True,False,False
0,197,35,0,True,False,False
0,77,35,0,True,False,False
0,35,77,0,True,False,False
0,43,146,0,True,False,False
0,146,43,0,True,False,False
0,43,7,0,True,False,False
0,7,43,0,True,False,False
0,155,30,0,True,False,False
0,30,155,0,True,False,False
0,155,32,0,True,False,False
0,32,155,0,True,False,False
0,155,115,0,True,False,False
0,115,155,0,True,False,False
0,13,155,0,True,False,False
0,155,13,0,True,False,False
0,159,155,0,True,False,False
0,155,159,0,True,False,False
0,7,145,0,True,False,False
0,145,7,0,True,False,False
0,7,162,0,True,False,False
0,162,7,0,True,False,False
0,57,7,0,True,False,False
0,7,57,0,True,False,False
0,178,65,0,True,False,False
0,65,178,0,True,False,False
0,178,13,0,True,False,False
0,13,178,0,True,False,False
0,178,159,0,True,False,False
0,159,178,0,True,False,False
0,171,159,0,True,False,False
0,159,171,0,True,False,False
0,159,221,0,True,False,False
0,221,159,0,True,False,False
0,186,188,0,True,False,False
0,188,186,0,True,False,False
0,171,186,0,True,False,False
0,186,171,0,True,False,False
0,172,186,0,True,False,False
0,186,172,0,True,False,False
0,171,180,0,True,False,False
0,180,171,0,True,False,False
0,145,77,0,True,False,False
0,77,145,0,True,False,False
0,124,77,0,True,False,False
0,77,124,0,True,False,False
0,146,162,0,True,False,False
0,162,146,0,True,False,False
0,162,65,0,True,False,False
0,65,162,0,True,False,False
0,162,180,0,True,False,False
0,180,162,0,True,False,False
0,113,188,0,True,False,False
0,188,113,0,True,False,False
